size,Runtime (RDTSC) [s],Runtime unhalted [s],Clock [MHz],CPI,L2 to L1 load bandwidth [MBytes/s],L2 to L1 load data volume [GBytes],L1 to L2 evict bandwidth [MBytes/s],L1 to L2 evict data volume [GBytes],L1 to/from L2 bandwidth [MBytes/s],L1 to/from L2 data volume [GBytes],L3 to L2 load bandwidth [MBytes/s],L3 to L2 load data volume [GBytes],L2 to L3 evict bandwidth [MBytes/s],L2 to L3 evict data volume [GBytes],L2 to/from L3 bandwidth [MBytes/s],L2 to/from L3 data volume [GBytes],System to L3 bandwidth [MBytes/s],System to L3 data volume [GBytes],L3 to system bandwidth [MBytes/s],L3 to system data volume [GBytes],L3 to/from system bandwidth [MBytes/s],L3 to/from system data volume [GBytes],Memory read bandwidth [MBytes/s],Memory read data volume [GBytes],Memory write bandwidth [MBytes/s],Memory write data volume [GBytes],Memory bandwidth [MBytes/s],Memory data volume [GBytes]
2816,9.9931,12.1565,3200.2957,1.0433,15825.4400,158.1456,71.2172,0.7117,15896.6571,158.8573,15642.8825,156.3213,70.4955,0.7045,15713.3780,157.0258,15705.0884,156.9429,65.4831,0.6544,15770.5715,157.5973,9024.9477,90.1874,71.9195,0.7187,9096.8672,90.9061
3072,12.9610,15.7940,3201.1581,1.0463,15807.5672,204.8811,65.6870,0.8514,15873.2542,205.7325,15781.8901,204.5483,65.1709,0.8447,15847.0610,205.3930,15838.4479,205.2813,58.4551,0.7576,15896.9029,206.0390,9049.8364,117.2945,65.0479,0.8431,9114.8843,118.1376
3328,16.4792,20.0795,3200.2660,1.0462,15802.8103,260.4183,60.8437,1.0027,15863.6540,261.4210,15773.9119,259.9421,60.5449,0.9977,15834.4568,260.9398,15844.7509,261.1095,54.7049,0.9015,15899.4558,262.0109,9049.7063,149.1323,61.1653,1.0080,9110.8716,150.1402
3584,20.5396,25.0547,3200.2265,1.0450,15835.6982,325.2584,56.5083,1.1607,15892.2065,326.4191,15805.3583,324.6353,56.1486,1.1533,15861.5069,325.7885,15865.3174,325.8668,49.9504,1.0260,15915.2678,326.8928,9063.6460,186.1634,56.4979,1.1604,9120.1439,187.3238
3840,25.1794,30.7060,3199.5390,1.0430,15861.1689,399.3744,53.0909,1.3368,15914.2598,400.7112,15856.7539,399.2632,52.8550,1.3309,15909.6089,400.5941,15931.2575,401.1392,47.3662,1.1927,15978.6238,402.3318,9081.0380,228.6549,53.8073,1.3548,9134.8453,230.0097
4096,30.6920,37.4509,3201.1179,1.0443,15821.9327,485.6072,75.8536,2.3281,15897.7863,487.9353,15783.1619,484.4173,73.6717,2.2611,15856.8336,486.6784,15850.1640,486.4737,70.6775,2.1692,15920.8415,488.6429,9053.7454,277.8778,77.1183,2.3669,9130.8636,280.2447
4352,34.2116,41.7690,3200.6772,0.9711,16751.5653,573.0987,81.4710,2.7873,16833.0362,575.8859,16604.7072,568.0744,76.4297,2.6148,16681.1369,570.6892,16658.2676,569.9068,68.2327,2.3344,16726.5004,572.2412,8617.5595,294.8209,74.8208,2.5597,8692.3803,297.3807
4608,37.9915,46.4077,3200.5463,0.9102,18238.0573,692.8915,86.5531,3.2883,18324.6105,696.1798,17296.6262,657.1251,77.1345,2.9305,17373.7607,660.0556,17349.8733,659.1481,70.0709,2.6621,17419.9442,661.8102,8228.4232,312.6103,76.7846,2.9172,8305.2078,315.5275
4864,42.6947,52.1862,3200.9180,0.8703,19082.3739,814.7168,85.7925,3.6629,19168.1664,818.3797,17731.2975,757.0330,76.5920,3.2701,17807.8895,760.3030,17781.6464,759.1826,69.7527,2.9781,17851.3991,762.1607,7763.5451,331.4625,76.3559,3.2600,7839.9011,334.7225
5120,52.4313,64.1527,3201.1047,0.9173,18125.3060,950.3341,77.4829,4.0625,18202.7889,954.3966,16519.0972,866.1184,69.1213,3.6241,16588.2185,869.7425,16562.5143,868.3948,63.5622,3.3327,16626.0764,871.7275,7621.8097,399.6217,70.1413,3.6776,7691.9510,403.2993
